source_id,city,sub_market,locality,property_type,bhk,area_sqft,floor,total_floors,furnishing,facing,bathroom,has_parking,has_lift,has_clubhouse,has_pool,has_gym,has_security,has_power_backup,rera_approved,possession_status,listed_price,project_name,developer,age_years,age_years_is_estimated,total_floors_is_estimated,floor_is_estimated
12590,Mumbai,Thane,Kalyan West,Apartment,1,645.0,7.0,8.0,Unfurnished,Unknown,1.0,False,False,False,False,False,False,False,False,Ready to Move,3200000.0,Virat Residency,Virat Group,3,True,False,False
12589,Mumbai,Thane,Kalyan West,Apartment,1,325.0,1.0,4.0,Unfurnished,Unknown,1.0,False,False,False,False,False,False,False,False,Ready to Move,1700000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12588,Mumbai,Thane,Kalyan West,Apartment,5,2115.0,5.0,7.0,Furnished,East,3.0,False,True,True,True,True,True,True,False,Ready to Move,25200000.0,Devdarshan Apartment,Individual Seller (Not Builder-Listed),3,True,False,False
12587,Mumbai,Thane,Kalyan West,Apartment,2,900.0,0.0,7.0,Unfurnished,Unknown,2.0,False,False,False,False,False,False,False,False,Ready to Move,9500000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12586,Mumbai,Thane,Kalyan West,Apartment,1,418.0,5.0,7.0,Unfurnished,South -West,1.0,False,False,False,False,False,False,False,False,Ready to Move,4200000.0,Madhav Sansar,Madhav Constructions,3,True,False,False
12585,Mumbai,Thane,Kalyan West,Apartment,1,590.0,1.0,5.0,Semi-Furnished,Unknown,1.0,True,False,False,False,False,False,False,False,Ready to Move,4200000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12584,Mumbai,Thane,Kalyan West,Apartment,1,680.0,1.0,8.0,Semi-Furnished,Unknown,2.0,False,False,False,False,False,False,False,False,Ready to Move,4000000.0,Shankheshwar Platinum,Shankheshwar Group of Companies,3,True,False,False
12583,Mumbai,Thane,Kalyan West,Apartment,2,880.0,7.0,7.0,Unfurnished,Unknown,2.0,False,False,False,False,False,False,False,False,Ready to Move,8000000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12582,Mumbai,Thane,Kalyan West,Apartment,2,1250.0,14.0,15.0,Semi-Furnished,East,2.0,False,True,False,False,False,False,True,False,Ready to Move,10000000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12581,Mumbai,Thane,Kalyan West,Apartment,3,1190.0,5.0,5.0,Furnished,Unknown,3.0,False,False,False,False,False,False,False,False,Ready to Move,11000000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12580,Mumbai,Thane,Kalyan West,Apartment,2,870.0,7.0,7.0,Semi-Furnished,Unknown,2.0,False,False,False,False,False,False,False,False,Ready to Move,6000000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12579,Mumbai,Thane,Kalyan West,Apartment,2,650.0,1.0,4.0,Semi-Furnished,East,1.0,False,False,False,False,False,False,True,False,Ready to Move,5500000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12578,Mumbai,Thane,Kalyan West,Apartment,2,595.0,3.0,21.0,Semi-Furnished,Unknown,2.0,False,False,False,False,False,False,False,False,Under Construction,8200000.0,Godrej Nirvaan,Godrej Properties,0,True,False,False
12577,Mumbai,Thane,Kalyan West,Apartment,1,490.0,2.0,5.0,Unfurnished,Unknown,1.0,False,False,False,False,False,False,False,False,Ready to Move,2600000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12576,Mumbai,Thane,Kalyan West,Apartment,2,985.0,1.0,7.0,Semi-Furnished,Unknown,2.0,False,False,False,False,False,False,False,False,Ready to Move,7200000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12575,Mumbai,Thane,Kalyan West,Apartment,2,1130.0,15.0,24.0,Furnished,Unknown,2.0,True,False,False,False,False,False,False,False,Ready to Move,8500000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12574,Mumbai,Thane,Kalyan West,Apartment,2,640.0,2.0,8.0,Furnished,North,2.0,True,True,False,False,False,False,True,False,Ready to Move,7300000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12573,Mumbai,Thane,Kalyan West,Apartment,2,700.0,16.0,28.0,Semi-Furnished,Unknown,2.0,False,False,False,False,False,False,False,False,Ready to Move,11000000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12572,Mumbai,Thane,Kalyan West,Independent House,2,1600.0,6.0,15.0,Semi-Furnished,Unknown,2.0,False,False,False,False,False,False,False,False,Ready to Move,15000000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,True,True
